[Header]
Application Name	LabSolutions
Version	5.97
Data File Name	G:\GC data\Mara\MWH_017\MWH_017_10m_23.02.2026_7.gcd
Output Date	09.04.2026
Output Time	10:45:09

[File Information]
Type	Data File
Generated	23.02.2026 09:37:02
Generated by	System Administrator
Modified	09.04.2026 10:45:09
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	23.02.2026 09:40:16
Sample Type	0:Unknown
Level	1
Sample Name	MWH_017_10m
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	4
Injection Volume	0,2
Injection Count	1
Bar Code	

[Original Files]
Data File	G:\GC data\Mara\MWH_017_10m_23.02.2026_7.gcd
Method File	G:\GC data\MWH3_60-150-200_0-2uL_split50.gcm
Batch File	G:\GC data\Mara\wash_2026-02-23.gcb
Report Format File	c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	GC-3
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	DET#4
Detector Name	FID1
# of Channels	1

[Peak Table(Ch1)]
# of Peaks	5
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1,335	1,316	1,433	81119	63960	1,268	0,000	 V M			0,000	28280	0,000	1,664	0,000	0,000	0	0	0,000	0,000
2	1,567	1,512	1,816	5819173	4657397	1,249	0,000	   			0,174	39482	0,000	1,470	7,366	0,000	0	0	0,000	0,000
3	1,891	1,816	2,058	238396	174999	1,362	0,000	 V 			0,417	50134	0,000	1,245	9,946	2,394	0	0	0,000	0,000
4	6,399	6,366	6,538	130561	81911	1,594	0,000	   M			3,794	412540	0,000	1,285	122,747	9,098	0	0	0,000	0,000
5	7,523	7,462	7,966	265003	146280	1,812	0,000	   			4,636	511176	0,000	1,209	27,507	1,222	0	0	0,000	0,000

[Chromatogram (Ch1)]
Interval(msec)	40
# of Points	18945
Start Time(min)	0,000
End Time(min)	12,630
R.Time (min)	Intensity
0,00017	-29
0,00083	-29
0,00150	-29
0,00217	-28
0,00283	-28
0,00350	-27
0,00417	-27
0,00483	-26
0,00550	-26
0,00617	-25
0,00683	-25
0,00750	-24
0,00817	-24
0,00883	-24
0,00950	-24
0,01017	-24
0,01083	-23
0,01150	-23
0,01217	-23
0,01283	-23
0,01350	-23
0,01417	-23
0,01483	-23
0,01550	-23
0,01617	-24
0,01683	-24
0,01750	-24
0,01817	-25
0,01883	-25
0,01950	-25
0,02017	-26
0,02083	-26
0,02150	-26
0,02217	-26
0,02283	-26
0,02350	-25
0,02417	-25
0,02483	-25
0,02550	-25
0,02617	-25
0,02683	-24
0,02750	-24
0,02817	-24
0,02883	-24
0,02950	-24
0,03017	-24
0,03083	-24
0,03150	-24
0,03217	-25
0,03283	-25
0,03350	-25
0,03417	-25
0,03483	-25
0,03550	-25
0,03617	-25
0,03683	-25
0,03750	-25
0,03817	-25
0,03883	-25
0,03950	-24
0,04017	-24
0,04083	-24
0,04150	-24
0,04217	-24
0,04283	-24
0,04350	-24
0,04417	-24
0,04483	-24
0,04550	-24
0,04617	-25
0,04683	-25
0,04750	-26
0,04817	-26
0,04883	-27
0,04950	-27
0,05017	-28
0,05083	-28
0,05150	-28
0,05217	-28
0,05283	-27
0,05350	-27
0,05417	-27
0,05483	-27
0,05550	-27
0,05617	-27
0,05683	-27
0,05750	-27
0,05817	-27
0,05883	-26
0,05950	-26
0,06017	-26
0,06083	-26
0,06150	-26
0,06217	-26
0,06283	-26
0,06350	-26
0,06417	-26
0,06483	-26
0,06550	-26
0,06617	-26
0,06683	-26
0,06750	-26
0,06817	-26
0,06883	-26
0,06950	-26
0,07017	-26
0,07083	-26
0,07150	-26
0,07217	-26
0,07283	-26
0,07350	-26
0,07417	-26
0,07483	-26
0,07550	-26
0,07617	-26
0,07683	-27
0,07750	-27
0,07817	-27
0,07883	-27
0,07950	-27
0,08017	-27
0,08083	-27
0,08150	-27
0,08217	-27
0,08283	-27
0,08350	-27
0,08417	-27
0,08483	-27
0,08550	-27
0,08617	-28
0,08683	-28
0,08750	-28
0,08817	-28
0,08883	-29
0,08950	-29
0,09017	-29
0,09083	-30
0,09150	-30
0,09217	-30
0,09283	-30
0,09350	-31
0,09417	-31
0,09483	-31
0,09550	-31
0,09617	-31
0,09683	-31
0,09750	-31
0,09817	-30
0,09883	-30
0,09950	-30
0,10017	-30
0,10083	-31
0,10150	-31
0,10217	-31
0,10283	-30
0,10350	-30
0,10417	-30
0,10483	-29
0,10550	-29
0,10617	-29
0,10683	-28
0,10750	-28
0,10817	-27
0,10883	-27
0,10950	-27
0,11017	-27
0,11083	-26
0,11150	-26
0,11217	-26
0,11283	-26
0,11350	-26
0,11417	-26
0,11483	-26
0,11550	-26
0,11617	-26
0,11683	-26
0,11750	-26
0,11817	-27
0,11883	-27
0,11950	-27
0,12017	-27
0,12083	-28
0,12150	-28
0,12217	-28
0,12283	-28
0,12350	-28
0,12417	-28
0,12483	-28
0,12550	-28
0,12617	-28
0,12683	-28
0,12750	-28
0,12817	-28
0,12883	-28
0,12950	-28
0,13017	-28
0,13083	-28
0,13150	-28
0,13217	-28
0,13283	-29
0,13350	-29
0,13417	-29
0,13483	-29
0,13550	-29
0,13617	-29
0,13683	-29
0,13750	-29
0,13817	-29
0,13883	-30
0,13950	-30
0,14017	-30
0,14083	-29
0,14150	-29
0,14217	-29
0,14283	-29
0,14350	-29
0,14417	-29
0,14483	-28
0,14550	-28
0,14617	-28
0,14683	-28
0,14750	-28
0,14817	-28
0,14883	-28
0,14950	-28
0,15017	-28
0,15083	-28
0,15150	-28
0,15217	-28
0,15283	-28
0,15350	-28
0,15417	-28
0,15483	-28
0,15550	-28
0,15617	-28
0,15683	-28
0,15750	-28
0,15817	-28
0,15883	-28
0,15950	-28
0,16017	-28
0,16083	-28
0,16150	-28
0,16217	-28
0,16283	-28
0,16350	-28
0,16417	-28
0,16483	-29
0,16550	-29
0,16617	-29
0,16683	-29
0,16750	-29
0,16817	-29
0,16883	-29
0,16950	-29
0,17017	-29
0,17083	-28
0,17150	-28
0,17217	-28
0,17283	-28
0,17350	-28
0,17417	-28
0,17483	-28
0,17550	-28
0,17617	-28
0,17683	-28
0,17750	-28
0,17817	-28
0,17883	-28
0,17950	-29
0,18017	-29
0,18083	-29
0,18150	-29
0,18217	-29
0,18283	-29
0,18350	-29
0,18417	-30
0,18483	-30
0,18550	-30
0,18617	-30
0,18683	-30
0,18750	-30
0,18817	-30
0,18883	-30
0,18950	-31
0,19017	-31
0,19083	-31
0,19150	-31
0,19217	-31
0,19283	-31
0,19350	-31
0,19417	-31
0,19483	-31
0,19550	-31
0,19617	-32
0,19683	-32
0,19750	-32
0,19817	-32
0,19883	-32
0,19950	-32
0,20017	-32
0,20083	-31
0,20150	-31
0,20217	-31
0,20283	-31
0,20350	-31
0,20417	-31
0,20483	-31
0,20550	-31
0,20617	-31
0,20683	-31
0,20750	-31
0,20817	-31
0,20883	-31
0,20950	-31
0,21017	-31
0,21083	-31
0,21150	-31
0,21217	-31
0,21283	-31
0,21350	-31
0,21417	-31
0,21483	-31
0,21550	-31
0,21617	-32
0,21683	-32
0,21750	-32
0,21817	-32
0,21883	-33
0,21950	-33
0,22017	-33
0,22083	-33
0,22150	-33
0,22217	-33
0,22283	-33
0,22350	-33
0,22417	-33
0,22483	-33
0,22550	-33
0,22617	-33
0,22683	-33
0,22750	-33
0,22817	-33
0,22883	-33
0,22950	-32
0,23017	-32
0,23083	-32
0,23150	-32
0,23217	-32
0,23283	-32
0,23350	-32
0,23417	-32
0,23483	-32
0,23550	-33
0,23617	-33
0,23683	-33
0,23750	-32
0,23817	-32
0,23883	-32
0,23950	-32
0,24017	-32
0,24083	-32
0,24150	-32
0,24217	-32
0,24283	-32
0,24350	-31
0,24417	-31
0,24483	-31
0,24550	-31
0,24617	-31
0,24683	-31
0,24750	-31
0,24817	-31
0,24883	-31
0,24950	-31
0,25017	-31
0,25083	-31
0,25150	-31
0,25217	-31
0,25283	-31
0,25350	-31
0,25417	-31
0,25483	-31
0,25550	-31
0,25617	-31
0,25683	-31
0,25750	-31
0,25817	-31
0,25883	-32
0,25950	-32
0,26017	-32
0,26083	-32
0,26150	-32
0,26217	-33
0,26283	-33
0,26350	-33
0,26417	-32
0,26483	-32
0,26550	-32
0,26617	-32
0,26683	-32
0,26750	-31
0,26817	-31
0,26883	-31
0,26950	-31
0,27017	-31
0,27083	-31
0,27150	-31
0,27217	-32
0,27283	-32
0,27350	-32
0,27417	-32
0,27483	-32
0,27550	-32
0,27617	-32
0,27683	-32
0,27750	-32
0,27817	-32
0,27883	-32
0,27950	-33
0,28017	-33
0,28083	-33
0,28150	-33
0,28217	-32
0,28283	-32
0,28350	-32
0,28417	-32
0,28483	-31
0,28550	-31
0,28617	-31
0,28683	-31
0,28750	-31
0,28817	-31
0,28883	-31
0,28950	-31
0,29017	-31
0,29083	-31
0,29150	-31
0,29217	-31
0,29283	-31
0,29350	-31
0,29417	-31
0,29483	-31
0,29550	-30
0,29617	-30
0,29683	-30
0,29750	-30
0,29817	-30
0,29883	-30
0,29950	-29
0,30017	-29
0,30083	-29
0,30150	-29
0,30217	-29
0,30283	-29
0,30350	-29
0,30417	-29
0,30483	-30
0,30550	-30
0,30617	-30
0,30683	-30
0,30750	-30
0,30817	-30
0,30883	-30
0,30950	-30
0,31017	-30
0,31083	-30
0,31150	-30
0,31217	-30
0,31283	-31
0,31350	-31
0,31417	-31
0,31483	-32
0,31550	-32
0,31617	-32
0,31683	-32
0,31750	-32
0,31817	-32
0,31883	-32
0,31950	-32
0,32017	-32
0,32083	-32
0,32150	-32
0,32217	-32
0,32283	-32
0,32350	-32
0,32417	-32
0,32483	-32
0,32550	-33
0,32617	-33
0,32683	-33
0,32750	-33
0,32817	-33
0,32883	-34
0,32950	-34
0,33017	-34
0,33083	-34
0,33150	-34
0,33217	-34
0,33283	-34
0,33350	-34
0,33417	-35
0,33483	-35
0,33550	-35
0,33617	-35
0,33683	-35
0,33750	-35
0,33817	-35
0,33883	-35
0,33950	-35
0,34017	-35
0,34083	-34
0,34150	-34
0,34217	-34
0,34283	-34
0,34350	-34
0,34417	-34
0,34483	-34
0,34550	-34
0,34617	-34
0,34683	-34
0,34750	-34
0,34817	-34
0,34883	-34
0,34950	-34
0,35017	-34
0,35083	-33
0,35150	-33
0,35217	-33
0,35283	-33
0,35350	-33
0,35417	-33
0,35483	-33
0,35550	-33
0,35617	-33
0,35683	-33
0,35750	-33
0,35817	-33
0,35883	-33
0,35950	-32
0,36017	-32
0,36083	-32
0,36150	-32
0,36217	-31
0,36283	-31
0,36350	-31
0,36417	-31
0,36483	-31
0,36550	-31
0,36617	-31
0,36683	-31
0,36750	-31
0,36817	-31
0,36883	-31
0,36950	-31
0,37017	-31
0,37083	-30
0,37150	-30
0,37217	-30
0,37283	-30
0,37350	-30
0,37417	-30
0,37483	-30
0,37550	-30
0,37617	-30
0,37683	-31
0,37750	-31
0,37817	-31
0,37883	-32
0,37950	-32
0,38017	-33
0,38083	-33
0,38150	-33
0,38217	-33
0,38283	-33
0,38350	-33
0,38417	-33
0,38483	-33
0,38550	-33
0,38617	-33
0,38683	-33
0,38750	-33
0,38817	-33
0,38883	-33
0,38950	-33
0,39017	-33
0,39083	-33
0,39150	-33
0,39217	-33
0,39283	-33
0,39350	-34
0,39417	-34
0,39483	-34
0,39550	-34
0,39617	-34
0,39683	-34
0,39750	-34
0,39817	-34
0,39883	-34
0,39950	-34
0,40017	-35
0,40083	-35
0,40150	-35
0,40217	-35
0,40283	-34
0,40350	-34
0,40417	-34
0,40483	-34
0,40550	-34
0,40617	-34
0,40683	-34
0,40750	-34
0,40817	-34
0,40883	-35
0,40950	-35
0,41017	-35
0,41083	-35
0,41150	-35
0,41217	-35
0,41283	-35
0,41350	-35
0,41417	-35
0,41483	-35
0,41550	-35
0,41617	-35
0,41683	-35
0,41750	-35
0,41817	-35
0,41883	-35
0,41950	-35
0,42017	-35
0,42083	-35
0,42150	-35
