[Header]
Application Name	LabSolutions
Version	5.97
Data File Name	G:\GC data\Mara\MWH_027\27.04.2026_MWH_027_t0_008.gcd
Output Date	30.04.2026
Output Time	14:36:59

[File Information]
Type	Data File
Generated	27.04.2026 15:16:23
Generated by	System Administrator
Modified	30.04.2026 14:36:59
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	27.04.2026 15:21:57
Sample Type	0:Unknown
Level	0
Sample Name	MWH_027_t0
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	2
Injection Volume	0,2
Injection Count	1
Bar Code	

[Original Files]
Data File	G:\GC data\Mara\27.04.2026_MWH_027_t0_008.gcd
Method File	G:\GC data\MWH3_60-150-200_0-2uL_split50.gcm
Batch File	G:\GC data\Mara\MWH_027-029.gcb
Report Format File	c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	GC-3
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	DET#4
Detector Name	FID1
# of Channels	1

[Peak Table(Ch1)]
# of Peaks	6
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1,338	1,279	1,513	443838	353335	1,256	0,000	SV 			0,000	28191	0,000	1,493	0,000	0,000	0	0	0,000	0,000
2	1,570	1,513	1,760	7017080	5392294	1,301	0,000	 V 			0,174	36587	0,000	1,389	7,199	0,000	0	0	0,000	0,000
3	1,898	1,853	2,012	410436	286944	1,430	0,000	   			0,419	45128	0,000	1,115	9,609	2,415	0	0	0,000	0,000
4	2,037	2,012	2,129	2943	2043	1,441	0,000	 V 			0,523	51232	0,000	1,439	3,878	1,247	0	0	0,000	0,000
5	2,681	2,647	2,875	875789	620741	1,411	0,000	 V 			1,005	91773	0,000	1,194	18,095	1,921	0	0	0,000	0,000
6	7,546	7,467	8,102	989532	454666	2,176	0,000	   			4,642	312951	0,000	0,877	109,169	4,620	0	0	0,000	0,000

[Chromatogram (Ch1)]
Interval(msec)	40
# of Points	18945
Start Time(min)	0,001
