[Header]
Application Name	LabSolutions
Version	5.97
Data File Name	G:\GC data\Mara\MWH_027\27.04.2026_MWH_027_t120m_005.gcd
Output Date	30.04.2026
Output Time	14:37:09

[File Information]
Type	Data File
Generated	27.04.2026 16:54:48
Generated by	System Administrator
Modified	30.04.2026 14:37:09
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	27.04.2026 16:58:03
Sample Type	0:Unknown
Level	0
Sample Name	MWH_027_t120m
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	8
Injection Volume	0,2
Injection Count	1
Bar Code	

[Original Files]
Data File	G:\GC data\Mara\27.04.2026_MWH_027_t120m_005.gcd
Method File	G:\GC data\MWH3_60-150-200_0-2uL_split50.gcm
Batch File	G:\GC data\Mara\MWH_027-029.gcb
Report Format File	c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	GC-3
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	DET#4
Detector Name	FID1
# of Channels	1

[Peak Table(Ch1)]
# of Peaks	6
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1,334	1,279	1,401	3098	1986	1,560	0,000	 V 			0,000	29709	0,000	0,839	0,000	0,000	0	0	0,000	0,000
2	1,453	1,401	1,517	1013	768	1,319	0,000	 V 			0,089	30975	0,000	1,459	3,733	0,000	0	0	0,000	0,000
3	1,570	1,517	1,755	6903219	5298649	1,303	0,000	   			0,177	36343	0,000	1,387	3,552	1,981	0	0	0,000	0,000
4	1,901	1,863	2,035	502210	331389	1,515	0,000	   			0,425	40140	0,000	1,055	9,365	2,403	0	0	0,000	0,000
5	6,904	6,833	6,996	1205	193	6,246	0,000	   			4,175	0	0,000	0,000	0,000	9,823	0	0	0,000	0,000
6	7,565	7,463	8,209	1973775	725574	2,720	0,000	   			4,671	182916	0,000	0,760	0,000	1,119	0	0	0,000	0,000

[Chromatogram (Ch1)]
Interval(msec)	40
# of Points	18945
Start Time(min)	0,001
End Time(min)	12,630
R.Time (min)	Intensity
0,00050	-1
0,00117	-1
0,00183	-1
0,00250	-1
0,00317	-1
0,00383	-1
0,00450	-1
0,00517	-1
0,00583	-1
0,00650	-1
0,00717	-1
0,00783	-1
0,00850	-1
0,00917	-1
0,00983	-1
0,01050	-1
0,01117	-0
0,01183	-0
0,01250	-0
0,01317	-0
0,01383	-0
0,01450	0
0,01517	0
0,01583	0
0,01650	0
0,01717	0
0,01783	-0
0,01850	-0
0,01917	-1
0,01983	-1
0,02050	-1
0,02117	-1
0,02183	-2
0,02250	-2
0,02317	-2
0,02383	-3
0,02450	-3
0,02517	-4
0,02583	-4
0,02650	-4
0,02717	-5
0,02783	-5
0,02850	-5
0,02917	-5
0,02983	-5
0,03050	-5
0,03117	-5
0,03183	-5
0,03250	-5
0,03317	-5
0,03383	-5
0,03450	-5
0,03517	-4
0,03583	-4
0,03650	-4
0,03717	-4
0,03783	-4
0,03850	-4
0,03917	-4
0,03983	-4
0,04050	-4
0,04117	-4
0,04183	-5
0,04250	-5
0,04317	-5
0,04383	-5
0,04450	-5
0,04517	-6
0,04583	-6
0,04650	-6
0,04717	-6
0,04783	-6
0,04850	-6
0,04917	-6
0,04983	-6
0,05050	-6
0,05117	-6
0,05183	-6
0,05250	-6
0,05317	-6
0,05383	-6
0,05450	-6
0,05517	-6
0,05583	-6
0,05650	-6
0,05717	-6
0,05783	-5
0,05850	-5
0,05917	-5
0,05983	-4
0,06050	-4
0,06117	-3
0,06183	-3
0,06250	-3
0,06317	-3
0,06383	-2
0,06450	-3
0,06517	-3
0,06583	-3
0,06650	-3
0,06717	-3
0,06783	-4
0,06850	-4
0,06917	-4
0,06983	-4
0,07050	-4
0,07117	-4
0,07183	-4
0,07250	-4
0,07317	-4
0,07383	-4
0,07450	-4
0,07517	-4
0,07583	-4
0,07650	-5
0,07717	-5
0,07783	-5
0,07850	-5
0,07917	-5
0,07983	-4
0,08050	-4
0,08117	-4
0,08183	-4
0,08250	-4
0,08317	-3
0,08383	-3
0,08450	-3
0,08517	-3
0,08583	-4
0,08650	-4
0,08717	-4
0,08783	-4
0,08850	-4
0,08917	-3
0,08983	-3
0,09050	-3
0,09117	-3
0,09183	-3
0,09250	-3
0,09317	-3
0,09383	-3
0,09450	-3
0,09517	-4
0,09583	-4
0,09650	-4
0,09717	-4
0,09783	-4
0,09850	-4
0,09917	-4
0,09983	-5
0,10050	-4
0,10117	-4
0,10183	-4
0,10250	-4
0,10317	-4
0,10383	-4
0,10450	-4
0,10517	-3
0,10583	-3
0,10650	-3
0,10717	-4
0,10783	-4
0,10850	-4
0,10917	-3
0,10983	-3
0,11050	-3
0,11117	-3
0,11183	-3
0,11250	-3
0,11317	-3
0,11383	-3
0,11450	-2
0,11517	-2
0,11583	-2
0,11650	-2
0,11717	-2
0,11783	-2
0,11850	-2
0,11917	-2
0,11983	-2
0,12050	-2
0,12117	-1
0,12183	-1
0,12250	-1
0,12317	-1
0,12383	-1
0,12450	-2
0,12517	-2
0,12583	-1
0,12650	-1
0,12717	-1
0,12783	-2
0,12850	-2
0,12917	-2
0,12983	-2
0,13050	-2
0,13117	-2
0,13183	-3
0,13250	-3
0,13317	-3
0,13383	-3
0,13450	-3
0,13517	-4
0,13583	-4
0,13650	-4
0,13717	-4
0,13783	-4
0,13850	-4
0,13917	-4
0,13983	-4
0,14050	-4
0,14117	-4
0,14183	-4
0,14250	-4
0,14317	-4
0,14383	-4
0,14450	-5
0,14517	-5
0,14583	-5
0,14650	-5
0,14717	-4
0,14783	-4
0,14850	-4
0,14917	-4
0,14983	-4
0,15050	-4
0,15117	-4
0,15183	-4
0,15250	-4
0,15317	-4
0,15383	-4
0,15450	-4
0,15517	-4
0,15583	-4
0,15650	-4
0,15717	-4
0,15783	-4
0,15850	-4
0,15917	-4
0,15983	-4
0,16050	-4
0,16117	-4
0,16183	-4
0,16250	-3
0,16317	-3
0,16383	-3
0,16450	-3
0,16517	-3
0,16583	-3
0,16650	-3
0,16717	-3
0,16783	-2
0,16850	-2
0,16917	-2
0,16983	-2
0,17050	-2
0,17117	-2
0,17183	-2
0,17250	-2
0,17317	-2
0,17383	-2
0,17450	-2
0,17517	-2
0,17583	-2
0,17650	-1
0,17717	-1
0,17783	-1
0,17850	-1
0,17917	-1
0,17983	-0
0,18050	-0
0,18117	-0
0,18183	-0
0,18250	-0
0,18317	-0
0,18383	-0
0,18450	-1
0,18517	-1
0,18583	-1
0,18650	-1
0,18717	-1
0,18783	-1
0,18850	-1
0,18917	-1
0,18983	-1
0,19050	-1
0,19117	-1
0,19183	-1
0,19250	-1
0,19317	-1
0,19383	-1
0,19450	-1
0,19517	-1
0,19583	-1
0,19650	-2
0,19717	-2
0,19783	-2
0,19850	-3
0,19917	-3
0,19983	-3
0,20050	-4
0,20117	-4
0,20183	-4
0,20250	-5
0,20317	-5
0,20383	-6
0,20450	-6
0,20517	-6
0,20583	-6
0,20650	-6
0,20717	-6
0,20783	-6
0,20850	-6
0,20917	-6
0,20983	-6
0,21050	-6
0,21117	-6
0,21183	-5
0,21250	-5
0,21317	-5
0,21383	-5
0,21450	-5
0,21517	-5
0,21583	-4
0,21650	-4
0,21717	-4
0,21783	-4
0,21850	-4
