group_label,features,n_features,importance_mean,importance_std
delta_HOMO_LUMO_AB,delta_HOMO_LUMO_AB,1,0.02658687867853099,0.009616559763938392
delta_HOMO_LUMO_BA,delta_HOMO_LUMO_BA,1,0.026277044976993513,0.007148364617101959
solvent_logp,solvent_logp,1,0.021456918138421023,0.00448548407546979
charges_min_2,charges_min_2,1,0.018251693461998907,0.014315904477549383
polytype_emb_2,polytype_emb_2,1,0.017983307688936058,0.009981186261993949
charges_mean_1,charges_mean_1,1,0.015206362788049632,0.004220459613498581
charges_max_1,charges_max_1,1,0.013858445554418031,0.003787615821938072
solvent_FractionCSP3,solvent_FractionCSP3,1,0.01263279973074497,0.004955676007360913
dipole_y_1,dipole_y_1,1,0.012035924939081366,0.005201640018920195
polytype_emb_1,polytype_emb_1,1,0.009885308675204041,0.00728460762135553
charges_mean_2,charges_mean_2,1,0.009835869323060109,0.0033761846437952887
fukui_electrophilicity_max_2,fukui_electrophilicity_max_2,1,0.009585101572827737,0.004253810832983006
dipole_z_2,dipole_z_2,1,0.009057046354410592,0.0017710723045638694
global_nucleophilicity_1 (+2),global_nucleophilicity_1|ip_1|ip_corrected_1,3,0.0089693496983272,0.003242877548526571
dipole_y_2,dipole_y_2,1,0.00884187493529034,0.004579484503132938
charges_max_2,charges_max_2,1,0.008502534108818816,0.0028384065294298575
dipole_z_1,dipole_z_1,1,0.008399913463685293,0.003571700548944664
fukui_radical_max_1,fukui_radical_max_1,1,0.008370108160085588,0.003120908754675023
homo_1,homo_1,1,0.007293600147743939,0.0033138633526786955
fukui_radical_min_1,fukui_radical_min_1,1,0.0071085584533301825,0.003848376050258227
fukui_electrophilicity_max_1,fukui_electrophilicity_max_1,1,0.006663407067294824,0.004219611846106206
fukui_electrophilicity_min_1,fukui_electrophilicity_min_1,1,0.006438033911837382,0.004958224161794864
fukui_nucleophilicity_max_1,fukui_nucleophilicity_max_1,1,0.006306603335211136,0.0024683695716463615
fukui_radical_max_2,fukui_radical_max_2,1,0.006293475485116084,0.003264768993257607
global_nucleophilicity_2 (+2),global_nucleophilicity_2|ip_2|ip_corrected_2,3,0.005155906330798976,0.00380566299583697
homo_2,homo_2,1,0.0045056163507344645,0.004064827730930763
charges_min_1,charges_min_1,1,0.004236867491913099,0.006145498077965416
dipole_x_1,dipole_x_1,1,0.004103527576944488,0.0033319699440451617
method_emb_1,method_emb_1,1,0.0025782378763615,0.00431185339835164
ea_1,ea_1,1,0.0023418290848325916,0.0036323646088644887
fukui_nucleophilicity_max_2,fukui_nucleophilicity_max_2,1,0.002140639013258383,0.002048301698938175
fukui_nucleophilicity_min_2,fukui_nucleophilicity_min_2,1,0.0019363137149357335,0.0029941003085602624
fukui_electrophilicity_min_2,fukui_electrophilicity_min_2,1,0.0011432523083719005,0.004659338145206032
best_conformer_energy_1,best_conformer_energy_1,1,0.0011308375537086412,0.0025052377617735227
best_conformer_energy_2,best_conformer_energy_2,1,0.00101726404702287,0.0030152365452937166
ea_2,ea_2,1,0.0010088404223073332,0.0022931529350103943
dipole_x_2,dipole_x_2,1,0.0009065065304501907,0.003862946596498447
method_emb_2,method_emb_2,1,0.0008908643979659958,0.0028789865865141446
fukui_electrophilicity_mean_1,fukui_electrophilicity_mean_1,1,0.0005971523369419973,0.002439510716306004
global_electrophilicity_2,global_electrophilicity_2,1,0.00042587553501400867,0.0017595448877689211
solvent_TPSA,solvent_TPSA,1,0.00018908540210763603,0.005540211883432258
fukui_radical_mean_1,fukui_radical_mean_1,1,0.0,0.0
fukui_nucleophilicity_mean_1,fukui_nucleophilicity_mean_1,1,-0.00015946584259491915,0.00031893168518983835
global_electrophilicity_1,global_electrophilicity_1,1,-0.00018914959592966074,0.002448969340337272
delta_HOMO_LUMO_BB,delta_HOMO_LUMO_BB,1,-0.00042720732947804096,0.004348160175902984
fukui_electrophilicity_mean_2 (+2),fukui_electrophilicity_mean_2|fukui_nucleophilicity_mean_2|fukui_radical_mean_2,3,-0.0005410621185962805,0.001315096078916639
fukui_nucleophilicity_min_1,fukui_nucleophilicity_min_1,1,-0.0007692870711966781,0.0018294028934107201
delta_HOMO_LUMO_AA,delta_HOMO_LUMO_AA,1,-0.0009577972916503308,0.0029398481363151615
fukui_radical_min_2,fukui_radical_min_2,1,-0.001548370642257013,0.002166821094966844
solvent_HBD,solvent_HBD,1,-0.001556214608864681,0.0008206332412641197
lumo_2,lumo_2,1,-0.0016961622855473756,0.003326890452748138
lumo_1,lumo_1,1,-0.0029207566375012207,0.004478118955984172
temperature,temperature,1,-0.02077725775988023,0.009330595984622254
