group_label,features,n_features,importance_mean,importance_std,q25,q50,q75
delta_HOMO_LUMO_BA,delta_HOMO_LUMO_BA,1,0.3847597539424896,0.17160755395889282,0.2588985934853554,0.3629765510559082,0.5216924250125885
delta_HOMO_LUMO_AB,delta_HOMO_LUMO_AB,1,0.3769337832927704,0.1659974604845047,0.25294622778892517,0.35918842256069183,0.5010945945978165
temperature,temperature,1,0.25384780764579773,0.18039453029632568,0.10069092363119125,0.21974830329418182,0.3520515114068985
solvent_FractionCSP3,solvent_FractionCSP3,1,0.17987820506095886,0.1334124654531479,0.07758636772632599,0.14342468976974487,0.2777800187468529
dipole_x_2,dipole_x_2,1,0.14141272008419037,0.10073576122522354,0.06364573910832405,0.10466711968183517,0.20724403858184814
dipole_x_1,dipole_x_1,1,0.13651028275489807,0.10566059499979019,0.05508770328015089,0.09850867092609406,0.198695108294487
global_electrophilicity_2,global_electrophilicity_2,1,0.13643060624599457,0.09504179656505585,0.07646344229578972,0.10299896821379662,0.14226838201284409
global_electrophilicity_1,global_electrophilicity_1,1,0.13328447937965393,0.0963301733136177,0.07185912877321243,0.1044357419013977,0.14280963689088821
dipole_y_2,dipole_y_2,1,0.13069584965705872,0.09746892750263214,0.05990806967020035,0.08820018544793129,0.20609831809997559
dipole_y_1,dipole_y_1,1,0.12229584157466888,0.10000565648078918,0.05253594275563955,0.0794265978038311,0.19020592793822289
global_nucleophilicity_1,global_nucleophilicity_1,1,0.11926500499248505,0.056743379682302475,0.08031515404582024,0.11040636152029037,0.14552029594779015
delta_HOMO_LUMO_AA,delta_HOMO_LUMO_AA,1,0.11512098461389542,0.06926428526639938,0.05831880960613489,0.09763866662979126,0.16486136987805367
global_nucleophilicity_2,global_nucleophilicity_2,1,0.11206016689538956,0.05270782485604286,0.07731080614030361,0.10775493830442429,0.13290948048233986
dipole_z_2,dipole_z_2,1,0.10896105319261551,0.08559796214103699,0.0410498371347785,0.08340833708643913,0.15751077607274055
dipole_z_1,dipole_z_1,1,0.10577670484781265,0.08516188710927963,0.04271206632256508,0.07778562232851982,0.14950575679540634
delta_HOMO_LUMO_BB,delta_HOMO_LUMO_BB,1,0.10547985136508942,0.06364355236291885,0.052118219435214996,0.09368731454014778,0.1526206061244011
polytype_emb_2,polytype_emb_2,1,0.10422129929065704,0.13869808614253998,0.017620164435356855,0.02838476002216339,0.16002267971634865
fukui_radical_max_1,fukui_radical_max_1,1,0.09625647217035294,0.05292878299951553,0.06002338137477636,0.08740952610969543,0.1170781347900629
fukui_radical_max_2,fukui_radical_max_2,1,0.09105445444583893,0.05119090899825096,0.05652480944991112,0.08062988519668579,0.11218596994876862
solvent_HBD (+1),solvent_HBD|solvent_TPSA,2,0.07138732075691223,0.05918896570801735,0.03294227924197912,0.04931832104921341,0.0743155088275671
polytype_emb_1,polytype_emb_1,1,0.04829004779458046,0.06403829902410507,0.011849613627418876,0.019370412454009056,0.08421732299029827
method_emb_1,method_emb_1,1,0.03639231622219086,0.02575734630227089,0.020403604954481125,0.02744416333734989,0.040992772206664085
method_emb_2,method_emb_2,1,0.02276221476495266,0.031379275023937225,0.007645679521374404,0.010936956387013197,0.021680595353245735
